client_id,credit_given,month,default,gender_encoded,education_0,education_1,education_2,education_3,education_4,education_5,education_6,marital_0,marital_1,marital_2,marital_3,credit_given_scaled
25261,90000,10,0,1,False,False,True,False,False,False,False,False,False,True,False,-0.6008986550808072
1739,20000,10,1,1,False,False,True,False,False,False,False,False,False,True,False,-1.140170004424655
6574,130000,10,0,1,False,False,True,False,False,False,False,False,True,False,False,-0.29274359831289426
11518,290000,10,0,1,False,False,True,False,False,False,False,False,False,True,False,0.9398766287587577
27775,240000,10,0,1,False,False,True,False,False,False,False,False,False,True,False,0.5546828077988665
19430,200000,10,0,1,False,False,False,True,False,False,False,False,True,False,False,0.24652775103095348
4258,380000,10,0,0,False,True,False,False,False,False,False,False,True,False,False,1.633225506486562
6321,30000,10,1,0,False,False,True,False,False,False,False,False,False,True,False,-1.0631312402326767
5903,50000,10,0,0,False,True,False,False,False,False,False,False,False,True,False,-0.9090537118487202
1174,180000,10,0,1,False,True,False,False,False,False,False,False,False,True,False,0.09245022264699698
26568,200000,10,0,1,False,False,False,True,False,False,False,False,True,False,False,0.24652775103095348
22261,180000,10,0,1,False,True,False,False,False,False,False,False,False,True,False,0.09245022264699698
9375,50000,10,0,0,False,False,True,False,False,False,False,False,False,True,False,-0.9090537118487202
20025,90000,10,0,1,False,False,False,True,False,False,False,False,True,False,False,-0.6008986550808072
11627,90000,10,0,1,False,False,False,True,False,False,False,False,False,True,False,-0.6008986550808072
2508,20000,10,1,0,False,False,True,False,False,False,False,False,False,True,False,-1.140170004424655
12655,110000,10,0,1,False,False,False,True,False,False,False,False,False,True,False,-0.4468211266968507
27532,420000,10,0,0,False,False,False,True,False,False,False,False,True,False,False,1.941380563254475
6190,300000,10,0,0,False,True,False,False,False,False,False,False,False,True,False,1.016915392950736
17899,10000,10,0,0,False,False,True,False,False,False,False,False,True,False,False,-1.217208768616633
9836,80000,10,0,1,False,True,False,False,False,False,False,False,False,True,False,-0.6779374192727855
16486,240000,10,0,1,False,False,False,True,False,False,False,False,True,False,False,0.5546828077988665
3314,260000,10,0,0,False,True,False,False,False,False,False,False,False,True,False,0.708760336182823
29868,340000,10,0,0,False,True,False,False,False,False,False,False,False,True,False,1.325070449718649
21935,70000,10,0,1,False,True,False,False,False,False,False,False,False,True,False,-0.7549761834647637
11789,80000,10,0,0,False,True,False,False,False,False,False,False,False,True,False,-0.6779374192727855
618,270000,10,0,1,False,False,True,False,False,False,False,False,True,False,False,0.7857991003748012
7176,150000,10,0,1,False,False,False,True,False,False,False,False,True,False,False,-0.13866606992893774
29034,20000,10,1,1,False,False,False,True,False,False,False,False,True,False,False,-1.140170004424655
7459,80000,10,0,1,False,False,True,False,False,False,False,False,True,False,False,-0.6779374192727855
4562,220000,10,0,1,False,True,False,False,False,False,False,False,True,False,False,0.40060527941491
19383,120000,10,0,1,False,False,True,False,False,False,False,False,True,False,False,-0.3697823625048725
6502,180000,10,0,1,False,False,False,False,False,True,False,False,True,False,False,0.09245022264699698
2366,130000,10,1,0,False,False,False,True,False,False,False,False,False,True,False,-0.29274359831289426
